Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Rank_1,Rank_2,player_1_wins
2000-01-03,International,Outdoor,Hard,1st Round,3,Arthurs W.,Gambill J.M.,105,58,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Balcells J.,Henman T.,218,11,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Clement A.,Enqvist T.,56,5,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Dosedel S.,Ljubicic I.,63,77,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Draper S.,Norman M.,155,15,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Escude N.,Baccanello P.,40,655,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Fromberg R.,Woodbridge T.,81,198,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Goldstein P.,Vinck C.,88,227,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Grosjean S.,Ilie A.,26,51,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Hewitt L.,Woodforde M.,24,129,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Knippschild J.,Federer R.,87,65,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Martin A.,Spadea V.,55,21,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Petrovic D.,Huet S.,208,122,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Pozzi G.,Sekulov J.,79,142,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Hrbaty D.,84,20,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Tebbutt M.,Lisnard J.,351,134,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Dosedel S.,Escude N.,63,40,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Federer R.,5,65,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Grosjean S.,Gambill J.M.,26,58,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Petrovic D.,24,208,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Lisnard J.,Henman T.,134,11,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Norman M.,Fromberg R.,15,81,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Sekulov J.,Martin A.,142,55,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Vinck C.,Stoltenberg J.,227,84,0
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Enqvist T.,Grosjean S.,5,26,1
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Henman T.,Escude N.,11,40,0
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Stoltenberg J.,24,84,1
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Martin A.,Norman M.,55,15,0
2000-01-03,International,Outdoor,Hard,Semifinals,3,Enqvist T.,Norman M.,5,15,1
2000-01-03,International,Outdoor,Hard,Semifinals,3,Escude N.,Hewitt L.,40,24,0
2000-01-03,International,Outdoor,Hard,The Final,3,Hewitt L.,Enqvist T.,24,5,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Behrend T.,Popp A.,116,124,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Delgado J.,Black B.,162,67,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Hantschk M.,Tieleman L.,128,89,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Ishii Y.,Vanek J.,238,160,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Ketola T.,Ogorodov O.,163,135,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Kilderry P.,Stanoytchev O.,342,111,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Kroslak J.,Jonsson F.,103,127,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Kumar S.,Agenor R.,1198,94,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Paes L.,Boutter J.,145,137,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Ram A.,Pioline C.,414,14,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Rochus C.,Damm M.,120,104,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Voinea A.,121,100,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Spottl M.,Golmard J.,200,38,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Tabara M.,Kafelnikov Y.,125,2,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Vinciguerra A.,Lopez-Moron A.,99,113,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Zib T.,Manta L.,115,117,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Agenor R.,Damm M.,94,104,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Delgado J.,Stanoytchev O.,162,111,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Hantschk M.,Behrend T.,128,116,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Jonsson F.,Golmard J.,127,38,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Manta L.,Tabara M.,117,125,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Paes L.,Pioline C.,145,14,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Sanguinetti D.,Vinciguerra A.,121,99,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Vanek J.,Ketola T.,160,163,0
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Golmard J.,Delgado J.,38,162,1
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Ketola T.,Hantschk M.,163,128,0
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Manta L.,Damm M.,117,104,0
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Pioline C.,Sanguinetti D.,14,121,1
2000-01-03,International,Outdoor,Hard,Semifinals,3,Damm M.,Golmard J.,104,38,0
2000-01-03,International,Outdoor,Hard,Semifinals,3,Hantschk M.,Pioline C.,128,14,1
2000-01-03,International,Outdoor,Hard,The Final,3,Hantschk M.,Golmard J.,128,38,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Arazi H.,Cherkasov A.,35,206,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Bastl G.,Novak J.,85,36,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Caratti C.,Heuberger I.,211,219,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Diaz J.,Schalken S.,86,44,0
2000-01-03,International,Outdoor,Hard,1st Round,3,El Aynaoui Y.,Dupuis A.,33,78,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Kiefer N.,Tarango J.,6,59,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Luxa P.,Gaudio G.,174,73,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Puerta M.,Mirnyi M.,101,74,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Santoro F.,Burgsmuller L.,32,138,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Schuettler R.,Sanchez J.,47,285,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Siemerink J.,Squillari F.,93,49,0
2000-01-03,International,Outdoor,Hard,1st Round,3,Tillstrom M.,Ivanisevic G.,83,62,1
2000-01-03,International,Outdoor,Hard,1st Round,3,Vicente F.,Vacek D.,50,39,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Bastl G.,Berasategui A.,85,60,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Cherkasov A.,Tillstrom M.,206,83,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Gaudio G.,El Aynaoui Y.,73,33,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Kiefer N.,Caratti C.,6,211,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Marin J.A.,Mirnyi M.,71,74,0
2000-01-03,International,Outdoor,Hard,2nd Round,3,Santoro F.,van Lottum J.,32,69,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Vacek D.,47,39,1
2000-01-03,International,Outdoor,Hard,2nd Round,3,Squillari F.,Schalken S.,49,44,0
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,El Aynaoui Y.,Tillstrom M.,33,83,1
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Mirnyi M.,Schuettler R.,74,47,0
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Santoro F.,Bastl G.,32,85,1
2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Schalken S.,Kiefer N.,44,6,0
2000-01-03,International,Outdoor,Hard,Semifinals,3,El Aynaoui Y.,Schuettler R.,33,47,0
2000-01-03,International,Outdoor,Hard,Semifinals,3,Santoro F.,Kiefer N.,32,6,1
