Date,Player_1,Player_2,player_1_wins,Rank_1,Rank_2,rank_diff,rank_ratio,log_rank_diff,Surface_Clay,Surface_Grass,Surface_Hard,Round_2nd Round,Round_3rd Round,Round_4th Round,Round_Quarterfinals,Round_Round Robin,Round_Semifinals,Round_The Final,Series_ATP500,Series_Grand Slam,Series_International,Series_International Gold,Series_Masters,Series_Masters 1000,Series_Masters Cup,Court_Outdoor,Best of_5
2000-01-03,Arthurs W.,Gambill J.M.,0,105,58,47,1.8103448275862069,0.5859016502063472,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Balcells J.,Henman T.,0,218,11,207,19.818181818181817,2.9041650800285006,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Clement A.,Enqvist T.,0,56,5,51,11.2,2.2512917986064953,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Dosedel S.,Ljubicic I.,1,63,77,-14,0.8181818181818182,-0.1978257433299202,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Draper S.,Norman M.,0,155,15,140,10.333333333333334,2.277267285009756,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Escude N.,Baccanello P.,1,40,655,-615,0.061068702290076333,-2.7725887222397807,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Fromberg R.,Woodbridge T.,1,81,198,-117,0.4090909090909091,-0.8865855774602389,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Goldstein P.,Vinck C.,0,88,227,-139,0.3876651982378855,-0.9407092592223014,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Grosjean S.,Ilie A.,1,26,51,-25,0.5098039215686274,-0.6554068525770984,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Hewitt L.,Woodforde M.,1,24,129,-105,0.18604651162790697,-1.6486586255873816,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Knippschild J.,Federer R.,0,87,65,22,1.3384615384615384,0.2876820724517817,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Martin A.,Spadea V.,1,55,21,34,2.619047619047619,0.9343092373768336,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Petrovic D.,Huet S.,1,208,122,86,1.7049180327868851,0.5301498965923939,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Pozzi G.,Sekulov J.,0,79,142,-63,0.5563380281690141,-0.5808179955860258,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Stoltenberg J.,Hrbaty D.,1,84,20,64,4.2,1.3981288187668937,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Tebbutt M.,Lisnard J.,0,351,134,217,2.6194029850746268,0.9583563971596671,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Dosedel S.,Escude N.,0,63,40,23,1.575,0.44531101665536355,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Enqvist T.,Federer R.,1,5,65,-60,0.07692307692307693,-2.3978952727983702,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Grosjean S.,Gambill J.M.,1,26,58,-32,0.4482758620689655,-0.7817005779013906,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Hewitt L.,Petrovic D.,1,24,208,-184,0.11538461538461539,-2.1234584270966104,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Lisnard J.,Henman T.,0,134,11,123,12.181818181818182,2.4203681286504293,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
